date;time;total
;;0
2022-02-21;11:55:39;1
2022-02-21;12:59:57;0
2022-02-21;13:05:11;1
2022-02-21;13:22:18;1
2022-02-21;14:24:21;0
2022-02-21;14:27:51;1
2022-02-21;14:31:29;0
2022-02-21;14:32:11;1
2022-02-21;15:00:16;1
2022-02-21;15:02:42;1
2022-02-21;15:03:34;1
2022-02-21;15:12:32;1
2022-02-21;15:15:02;0
2022-02-21;15:16:57;0
2022-02-21;15:23:11;1
2022-02-21;15:23:51;1
2022-02-21;15:27:31;0
2022-02-21;15:28:17;1
2022-02-21;15:30:17;0
2022-02-21;18:00:35;0
2022-02-21;18:02:29;0
2022-02-21;18:58:55;0
2022-02-21;19:06:20;0
2022-02-21;19:08:21;0
2022-02-21;21:22:02;0
2022-02-21;21:22:42;0
2022-02-21;21:23:31;0
2022-02-21;21:24:24;0
2022-02-21;21:25:36;0
2022-02-21;21:26:49;0
2022-02-21;21:27:43;0
2022-02-21;21:29:22;0
2022-02-22;5:42:47;0
2022-02-22;5:43:59;0
2022-02-22;5:45:06;0
2022-02-22;5:45:46;0
2022-02-22;5:48:33;0
2022-02-22;5:51:31;0
2022-02-22;5:53:32;0
2022-02-22;5:56:04;0
2022-02-22;6:04:14;0
2022-02-22;6:05:01;1
2022-02-22;6:05:39;1
2022-02-22;6:06:18;0
2022-02-22;6:16:06;0
2022-02-22;6:18:57;0
2022-02-22;6:20:00;0
2022-02-22;6:20:41;0
2022-02-22;6:23:44;0
2022-02-22;6:26:11;0
2022-02-22;6:31:18;0
2022-02-22;6:32:48;0
2022-02-22;6:41:24;0
2022-02-22;7:03:40;0
2022-02-22;11:39:53;0
2022-02-22;11:43:22;0
2022-02-22;11:44:14;0
2022-02-22;13:13:19;0
2022-02-22;16:36:37;0
2022-02-22;16:38:32;0
2022-02-22;16:41:47;0
2022-02-22;16:43:18;0
2022-02-22;16:45:52;0
2022-02-22;16:47:14;0
2022-02-22;16:48:03;0
2022-02-22;16:49:02;0
